timestamp,price,volume
2026-09-23 13:30:00,85535.76795504782,40507090047.19731
2026-09-23 13:35:00,85571.05418695013,40512671282.18319
2026-09-23 13:40:00,85743.13813886848,40429112985.41544
2026-09-23 13:45:00,85807.66586442295,40483570421.17673
2026-09-23 13:50:00,85679.4030117382,40476648481.620316
2026-09-23 13:55:00,85652.3354082883,40460828917.76656
2026-09-23 14:00:00,85790.32559371383,40272331113.336716
2026-09-23 14:05:00,85730.54808479149,40117696781.671745
2026-09-23 14:10:00,85338.49151818141,40194805702.01152
2026-09-23 14:15:00,84780.12583727745,40705006252.96753
2026-09-23 14:20:00,84322.0566008741,41359256121.34509
2026-09-23 14:25:00,84266.09548519326,42273740693.29003
2026-09-23 14:30:00,84024.32702406873,42531700537.685234
2026-09-23 14:35:00,84385.09205320703,42924574325.13892
2026-09-23 14:40:00,84412.90599893713,43216535556.62052
2026-09-23 14:45:00,84317.460207466,43374500130.73159
2026-09-23 14:50:00,84319.03779254439,43511821060.02434
2026-09-23 14:55:00,84513.64080901888,43854579597.719765
2026-09-23 15:00:00,84470.52649714124,43914166961.73581
2026-09-23 15:05:00,84533.18932552014,43974888329.02177
2026-09-23 15:10:00,84592.4183506254,44145149485.47206
2026-09-23 15:15:00,84700.75745641472,44223883537.10332
2026-09-23 15:20:00,84592.01183899179,44341904071.333565
2026-09-23 15:25:00,84581.1680328831,44384530706.00983
2026-09-23 15:30:00,84521.39766679412,44439091766.36263
2026-09-23 15:35:00,84495.1680840442,44662851136.84463
2026-09-23 15:40:00,84317.59077920183,44657064885.79762
2026-09-23 15:45:00,84288.832318707,44640208149.54428
2026-09-23 15:50:00,84242.04807167924,44624569622.485245
2026-09-23 15:55:00,84081.63052006476,44790970933.070496
2026-09-23 16:00:00,83790.89567875945,44879396348.96887
2026-09-23 16:05:00,84131.88293424912,45222446092.21258
2026-09-23 16:10:00,84293.64392116941,45599170832.31727
2026-09-23 16:15:00,84297.45041476664,45748735447.41862
2026-09-23 16:20:00,84256.77425731705,45758060969.63849
